indice_desenvolvimento_cidade,horas_formacao,anos_exp_num,genero,experiencia_relevante,inscricao_universidade,nivel_educacao,area_formacao,tipo_empresa,dimensao_empresa,anos_desde_ultimo_emprego,target
0.884,15,3.0,Masculino,Sem experiência relevante,Curso a tempo parcial,Mestrado,Sem especialização,Desconhecido,Desconhecido,1 ano,0
0.91,17,10.0,Desconhecido,Com experiência relevante,Curso a tempo inteiro,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,10000 ou mais,2 anos,0
0.698,42,11.0,Masculino,Sem experiência relevante,Curso a tempo inteiro,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Setor público,Desconhecido,2 anos,0
0.624,111,9.0,Desconhecido,Sem experiência relevante,Curso a tempo inteiro,Ensino Secundário,Desconhecido,Desconhecido,Desconhecido,Nunca,0
0.924,86,8.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,1000 a 4999,1 ano,0
0.887,3,9.0,Desconhecido,Com experiência relevante,Não inscrito,Ensino Secundário,Desconhecido,Empresa privada,50 a 99,2 anos,0
0.92,2,5.0,Outro,Sem experiência relevante,Curso a tempo inteiro,Licenciatura,Outro,ONG,Menos de 10,1 ano,0
0.926,49,9.0,Masculino,Sem experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,50 a 99,1 ano,0
0.55,23,7.0,Masculino,Com experiência relevante,Curso a tempo parcial,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,Desconhecido,4 anos,0
0.698,44,19.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,Desconhecido,1 ano,0
0.923,96,16.0,Masculino,Com experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,50 a 99,1 ano,0
0.743,222,7.0,Feminino,Com experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,50 a 99,2 anos,0
0.624,50,4.0,Masculino,Com experiência relevante,Curso a tempo parcial,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,10000 ou mais,4 anos,1
0.92,34,17.0,Masculino,Sem experiência relevante,Não inscrito,Licenciatura,Humanidades,Desconhecido,100 a 500,4 anos,1
0.91,57,2.0,Feminino,Com experiência relevante,Não inscrito,Licenciatura,Humanidades,Empresa privada,50 a 99,Nunca,0
0.92,68,18.0,Desconhecido,Com experiência relevante,Curso a tempo inteiro,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Setor público,50 a 99,3 anos,0
0.92,56,15.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,50 a 99,Mais de 4 anos,0
0.624,40,2.0,Desconhecido,Sem experiência relevante,Curso a tempo inteiro,Ensino Secundário,Desconhecido,Desconhecido,Desconhecido,1 ano,0
0.92,5,1.0,Masculino,Sem experiência relevante,Não inscrito,Licenciatura,Artes,Startup em fase inicial,Menos de 10,1 ano,0
0.624,47,17.0,Desconhecido,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,5000 a 9999,2 anos,1
0.743,68,7.0,Desconhecido,Com experiência relevante,Não inscrito,Licenciatura,Sem especialização,Desconhecido,Desconhecido,Desconhecido,1
0.479,134,21.0,Desconhecido,Com experiência relevante,Curso a tempo inteiro,Mestrado,Outro,Startup financiada,10 a 49,2 anos,0
0.836,89,21.0,Masculino,Com experiência relevante,Não inscrito,Ensino Básico,Desconhecido,Desconhecido,Desconhecido,1 ano,0
0.92,29,21.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,Humanidades,Empresa privada,50 a 99,Mais de 4 anos,0
0.555,83,9.0,Desconhecido,Sem experiência relevante,Curso a tempo inteiro,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,10 a 49,4 anos,1
0.698,4,4.0,Feminino,Com experiência relevante,Não inscrito,Licenciatura,Gestão e Negócios,Startup financiada,10 a 49,4 anos,0
0.624,65,8.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,Humanidades,Desconhecido,Desconhecido,1 ano,0
0.624,32,9.0,Desconhecido,Sem experiência relevante,Curso a tempo inteiro,Ensino Secundário,Desconhecido,Desconhecido,Desconhecido,Nunca,0
0.899,94,15.0,Masculino,Com experiência relevante,Não inscrito,Ensino Secundário,Desconhecido,Empresa privada,100 a 500,Mais de 4 anos,0
0.92,92,21.0,Masculino,Com experiência relevante,Não inscrito,Mestrado,Humanidades,Empresa privada,50 a 99,Mais de 4 anos,0
0.92,128,5.0,Masculino,Com experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,10 a 49,4 anos,0
0.767,149,1.0,Desconhecido,Com experiência relevante,Curso a tempo inteiro,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,10 a 49,Nunca,0
0.925,128,13.0,Masculino,Sem experiência relevante,Não inscrito,Doutoramento,"Ciência, Tecnologia, Engenharia e Matemática",Setor público,10000 ou mais,Mais de 4 anos,0
0.92,140,10.0,Masculino,Sem experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,Desconhecido,4 anos,1
0.624,30,16.0,Masculino,Com experiência relevante,Não inscrito,Mestrado,Gestão e Negócios,Empresa privada,Menos de 10,1 ano,1
0.897,55,12.0,Masculino,Com experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,10 a 49,3 anos,0
0.924,6,21.0,Masculino,Com experiência relevante,Não inscrito,Ensino Secundário,Desconhecido,Outro,100 a 500,Mais de 4 anos,0
0.624,21,1.0,Desconhecido,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,50 a 99,Desconhecido,1
0.698,28,2.0,Desconhecido,Sem experiência relevante,Curso a tempo parcial,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,1
0.8959999999999999,7,12.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,50 a 99,Mais de 4 anos,0
0.624,147,11.0,Masculino,Com experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Startup financiada,500 a 999,2 anos,1
0.624,24,6.0,Masculino,Sem experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,Desconhecido,1 ano,1
0.698,57,3.0,Masculino,Sem experiência relevante,Desconhecido,Ensino Secundário,Desconhecido,Desconhecido,Desconhecido,Nunca,1
0.855,81,4.0,Desconhecido,Com experiência relevante,Curso a tempo inteiro,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Startup em fase inicial,10 a 49,3 anos,0
0.92,4,3.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,1000 a 4999,1 ano,0
0.887,45,21.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Startup financiada,50 a 99,1 ano,0
0.893,10,13.0,Masculino,Com experiência relevante,Curso a tempo parcial,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,1000 a 4999,2 anos,0
0.913,18,9.0,Desconhecido,Com experiência relevante,Não inscrito,Licenciatura,Humanidades,ONG,Menos de 10,1 ano,1
0.884,166,9.0,Masculino,Com experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Setor público,50 a 99,3 anos,0
0.738,7,7.0,Feminino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Startup em fase inicial,Menos de 10,2 anos,0
0.92,12,9.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,100 a 500,2 anos,0
0.91,31,21.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,Desconhecido,2 anos,0
0.745,4,15.0,Masculino,Com experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,Menos de 10,Mais de 4 anos,0
0.91,50,2.0,Desconhecido,Sem experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,Desconhecido,Nunca,1
0.92,100,18.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,Sem especialização,Empresa privada,10000 ou mais,4 anos,0
0.836,56,9.0,Masculino,Com experiência relevante,Curso a tempo inteiro,Licenciatura,Humanidades,Empresa privada,100 a 500,1 ano,0
0.91,8,9.0,Feminino,Com experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",ONG,100 a 500,1 ano,0
0.926,131,21.0,Masculino,Com experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,Desconhecido,Mais de 4 anos,0
0.92,30,19.0,Masculino,Com experiência relevante,Curso a tempo parcial,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,Desconhecido,1 ano,0
0.5579999999999999,63,6.0,Masculino,Sem experiência relevante,Curso a tempo parcial,Ensino Secundário,Desconhecido,Desconhecido,Desconhecido,Mais de 4 anos,1
0.866,17,15.0,Masculino,Com experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,10000 ou mais,Nunca,0
0.92,25,6.0,Desconhecido,Sem experiência relevante,Curso a tempo inteiro,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,Desconhecido,Desconhecido,1
0.92,2,7.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Startup financiada,10 a 49,2 anos,0
0.924,258,21.0,Masculino,Sem experiência relevante,Não inscrito,Licenciatura,Artes,Desconhecido,Desconhecido,2 anos,1
0.698,32,14.0,Masculino,Com experiência relevante,Desconhecido,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,50 a 99,2 anos,0
0.479,62,19.0,Desconhecido,Com experiência relevante,Não inscrito,Ensino Básico,Desconhecido,Empresa privada,Desconhecido,Nunca,1
0.92,81,6.0,Desconhecido,Com experiência relevante,Curso a tempo inteiro,Ensino Secundário,Desconhecido,Empresa privada,Menos de 10,Desconhecido,0
0.92,20,20.0,Desconhecido,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,Desconhecido,Nunca,1
0.897,17,4.0,Desconhecido,Sem experiência relevante,Não inscrito,Ensino Secundário,Desconhecido,Desconhecido,Desconhecido,3 anos,0
0.855,66,18.0,Masculino,Com experiência relevante,Não inscrito,Ensino Secundário,Desconhecido,Empresa privada,50 a 99,Mais de 4 anos,0
0.624,66,8.0,Feminino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,5000 a 9999,2 anos,0
0.698,3,11.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,Menos de 10,Mais de 4 anos,0
0.754,82,3.0,Masculino,Com experiência relevante,Curso a tempo parcial,Licenciatura,Sem especialização,Startup em fase inicial,Menos de 10,1 ano,0
0.925,20,7.0,Feminino,Com experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,100 a 500,1 ano,0
0.926,40,3.0,Desconhecido,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,Desconhecido,1 ano,0
0.55,268,3.0,Desconhecido,Com experiência relevante,Curso a tempo inteiro,Ensino Secundário,Desconhecido,Desconhecido,Desconhecido,1 ano,1
0.624,12,2.0,Desconhecido,Com experiência relevante,Curso a tempo inteiro,Desconhecido,Desconhecido,Empresa privada,100 a 500,1 ano,0
0.624,43,3.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,1000 a 4999,Nunca,0
0.855,14,10.0,Masculino,Com experiência relevante,Curso a tempo inteiro,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,10000 ou mais,3 anos,0
0.698,31,9.0,Masculino,Com experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,50 a 99,Mais de 4 anos,0
0.91,82,14.0,Desconhecido,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,500 a 999,Mais de 4 anos,0
0.738,9,4.0,Desconhecido,Sem experiência relevante,Curso a tempo inteiro,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,Desconhecido,Desconhecido,1
0.92,1,6.0,Masculino,Sem experiência relevante,Curso a tempo inteiro,Licenciatura,Outro,Desconhecido,Desconhecido,Nunca,1
0.7759999999999999,21,16.0,Desconhecido,Com experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,100 a 500,4 anos,0
0.878,10,12.0,Masculino,Sem experiência relevante,Curso a tempo inteiro,Ensino Secundário,Desconhecido,Desconhecido,Desconhecido,4 anos,0
0.89,31,5.0,Masculino,Com experiência relevante,Curso a tempo inteiro,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,Desconhecido,1 ano,0
0.624,3,1.0,Desconhecido,Com experiência relevante,Curso a tempo inteiro,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,50 a 99,1 ano,1
0.939,13,21.0,Outro,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Setor público,Menos de 10,Mais de 4 anos,0
0.926,64,21.0,Desconhecido,Com experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,Desconhecido,Mais de 4 anos,1
0.624,53,7.0,Masculino,Com experiência relevante,Curso a tempo inteiro,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Startup financiada,100 a 500,2 anos,1
0.91,118,21.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,50 a 99,2 anos,0
0.682,97,1.0,Desconhecido,Sem experiência relevante,Curso a tempo inteiro,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,Desconhecido,Desconhecido,1
0.92,86,21.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,Desconhecido,Mais de 4 anos,0
0.698,23,6.0,Masculino,Sem experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,Desconhecido,Nunca,1
0.624,23,4.0,Masculino,Com experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,500 a 999,1 ano,0
0.92,58,10.0,Desconhecido,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,Desconhecido,Mais de 4 anos,0
0.92,22,5.0,Masculino,Sem experiência relevante,Curso a tempo inteiro,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,Desconhecido,1 ano,1
0.926,101,14.0,Desconhecido,Sem experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,Desconhecido,Nunca,0
0.802,9,21.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,1000 a 4999,2 anos,0
0.624,45,6.0,Desconhecido,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,10000 ou mais,Mais de 4 anos,1
0.698,6,9.0,Desconhecido,Com experiência relevante,Curso a tempo inteiro,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",ONG,500 a 999,Mais de 4 anos,0
0.92,42,7.0,Desconhecido,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",ONG,100 a 500,1 ano,0
0.926,70,19.0,Feminino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,10 a 49,4 anos,0
0.92,75,11.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,Humanidades,Startup financiada,10 a 49,1 ano,0
0.624,23,10.0,Desconhecido,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,Desconhecido,3 anos,0
0.855,17,21.0,Desconhecido,Com experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,10000 ou mais,1 ano,0
0.92,87,21.0,Masculino,Com experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Setor público,10000 ou mais,Mais de 4 anos,1
0.738,48,17.0,Masculino,Com experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,Menos de 10,Mais de 4 anos,0
0.92,132,2.0,Desconhecido,Sem experiência relevante,Curso a tempo inteiro,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,Desconhecido,Nunca,1
0.92,70,13.0,Desconhecido,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,1000 a 4999,1 ano,0
0.92,86,21.0,Masculino,Com experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,1000 a 4999,3 anos,0
0.855,149,21.0,Desconhecido,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,50 a 99,2 anos,0
0.92,12,21.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,100 a 500,1 ano,0
0.92,39,10.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,Desconhecido,1 ano,1
0.925,34,8.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,50 a 99,1 ano,0
0.92,48,21.0,Masculino,Com experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Startup financiada,50 a 99,1 ano,1
0.92,72,4.0,Masculino,Sem experiência relevante,Curso a tempo inteiro,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,10000 ou mais,2 anos,0
0.897,110,9.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,50 a 99,Mais de 4 anos,0
0.92,61,21.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,1000 a 4999,Mais de 4 anos,1
0.939,86,5.0,Desconhecido,Com experiência relevante,Curso a tempo inteiro,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,Menos de 10,1 ano,0
0.754,15,10.0,Masculino,Sem experiência relevante,Não inscrito,Ensino Básico,Desconhecido,Desconhecido,Desconhecido,Nunca,0
0.92,109,21.0,Desconhecido,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,Desconhecido,2 anos,0
0.903,15,6.0,Masculino,Com experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,50 a 99,Nunca,0
0.899,53,6.0,Masculino,Com experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,Desconhecido,1 ano,0
0.624,9,4.0,Masculino,Sem experiência relevante,Curso a tempo inteiro,Ensino Secundário,Desconhecido,Desconhecido,Desconhecido,Nunca,1
0.91,56,2.0,Masculino,Com experiência relevante,Não inscrito,Ensino Secundário,Desconhecido,Empresa privada,50 a 99,1 ano,0
0.767,30,8.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,10 a 49,1 ano,0
0.624,134,2.0,Desconhecido,Sem experiência relevante,Curso a tempo inteiro,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,Desconhecido,Nunca,0
0.92,75,2.0,Feminino,Sem experiência relevante,Não inscrito,Licenciatura,Humanidades,Desconhecido,Desconhecido,1 ano,1
0.926,44,4.0,Masculino,Sem experiência relevante,Curso a tempo inteiro,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,50 a 99,1 ano,0
0.92,81,10.0,Masculino,Com experiência relevante,Curso a tempo inteiro,Ensino Secundário,Desconhecido,Desconhecido,Desconhecido,2 anos,1
0.92,97,14.0,Desconhecido,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,100 a 500,1 ano,0
0.738,34,8.0,Desconhecido,Com experiência relevante,Curso a tempo inteiro,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,10000 ou mais,Desconhecido,0
0.698,18,6.0,Desconhecido,Com experiência relevante,Não inscrito,Desconhecido,Desconhecido,Empresa privada,50 a 99,1 ano,0
0.893,33,12.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,100 a 500,Mais de 4 anos,0
0.55,16,3.0,Desconhecido,Sem experiência relevante,Curso a tempo inteiro,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,Desconhecido,1 ano,0
0.762,31,4.0,Masculino,Com experiência relevante,Não inscrito,Ensino Secundário,Desconhecido,Empresa privada,500 a 999,4 anos,0
0.55,5,3.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,10 a 49,1 ano,0
0.893,52,11.0,Desconhecido,Com experiência relevante,Curso a tempo parcial,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,Desconhecido,1 ano,0
0.6890000000000001,34,5.0,Masculino,Sem experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,Desconhecido,Nunca,0
0.767,24,9.0,Masculino,Sem experiência relevante,Curso a tempo inteiro,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",ONG,100 a 500,Mais de 4 anos,1
0.624,17,6.0,Desconhecido,Com experiência relevante,Curso a tempo parcial,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,10000 ou mais,4 anos,0
0.855,12,10.0,Masculino,Com experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Startup em fase inicial,Menos de 10,1 ano,0
0.92,47,6.0,Masculino,Sem experiência relevante,Curso a tempo inteiro,Ensino Secundário,Desconhecido,Setor público,50 a 99,2 anos,1
0.698,59,6.0,Masculino,Com experiência relevante,Curso a tempo inteiro,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,Menos de 10,1 ano,0
0.624,102,4.0,Masculino,Sem experiência relevante,Não inscrito,Licenciatura,Outro,Empresa privada,10000 ou mais,2 anos,1
0.926,80,21.0,Feminino,Com experiência relevante,Não inscrito,Doutoramento,"Ciência, Tecnologia, Engenharia e Matemática",Setor público,100 a 500,Mais de 4 anos,0
0.924,25,10.0,Desconhecido,Sem experiência relevante,Curso a tempo parcial,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,Desconhecido,4 anos,0
0.897,6,6.0,Masculino,Com experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,Menos de 10,1 ano,0
0.926,42,2.0,Desconhecido,Sem experiência relevante,Curso a tempo inteiro,Ensino Secundário,Desconhecido,ONG,10 a 49,Desconhecido,0
0.92,97,3.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,100 a 500,1 ano,0
0.924,53,6.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,50 a 99,1 ano,0
0.624,206,11.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Startup financiada,50 a 99,1 ano,1
0.624,121,4.0,Desconhecido,Sem experiência relevante,Curso a tempo inteiro,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,Desconhecido,Nunca,0
0.698,111,8.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,Menos de 10,1 ano,0
0.92,7,21.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Setor público,50 a 99,Mais de 4 anos,0
0.92,11,17.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Startup financiada,50 a 99,4 anos,0
0.92,10,12.0,Feminino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Setor público,10000 ou mais,Mais de 4 anos,0
0.92,64,16.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,Outro,Empresa privada,10 a 49,Desconhecido,0
0.92,44,10.0,Desconhecido,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,100 a 500,1 ano,0
0.767,116,7.0,Masculino,Sem experiência relevante,Não inscrito,Ensino Secundário,Desconhecido,Desconhecido,Desconhecido,Nunca,0
0.624,98,10.0,Masculino,Com experiência relevante,Desconhecido,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,Desconhecido,Mais de 4 anos,0
0.8270000000000001,6,5.0,Masculino,Com experiência relevante,Curso a tempo inteiro,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Setor público,10 a 49,1 ano,0
0.926,51,9.0,Masculino,Com experiência relevante,Curso a tempo parcial,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,10 a 49,Desconhecido,0
0.897,29,6.0,Masculino,Com experiência relevante,Curso a tempo parcial,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,Desconhecido,1 ano,0
0.92,46,15.0,Masculino,Sem experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,Desconhecido,1 ano,1
0.92,57,10.0,Masculino,Com experiência relevante,Não inscrito,Ensino Secundário,Desconhecido,Empresa privada,50 a 99,1 ano,0
0.722,24,9.0,Masculino,Sem experiência relevante,Curso a tempo inteiro,Ensino Secundário,Desconhecido,Desconhecido,Desconhecido,Nunca,1
0.903,258,11.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Startup financiada,100 a 500,2 anos,1
0.624,20,2.0,Masculino,Sem experiência relevante,Não inscrito,Ensino Secundário,Desconhecido,Desconhecido,Desconhecido,Nunca,1
0.92,36,10.0,Masculino,Com experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Setor público,1000 a 4999,Mais de 4 anos,0
